"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.548333336E-4,-1.269360352E-1,2.107617188E-1,9.854906616E0,9.857977362E0
1.040383333E-2,-1.017883301E-1,4.520599365E-2,9.840686188E0,9.841316431E0
2.035283333E-2,-2.354603577E-1,7.798782349E-2,9.827812958E0,9.830942539E0
3.030183333E-2,-1.082249451E-1,9.101074219E-2,9.840087433E0,9.841103408E0
4.025083333E-2,-1.553768921E-1,4.790039063E-2,9.836644592E0,9.837988273E0
5.020083333E-2,-1.606159973E-1,9.145980835E-2,9.827663269E0,9.829401189E0
6.014983333E-2,-1.802252197E-1,7.993377686E-2,9.839788055E0,9.841763029E0
7.009883333E-2,-1.257385254E-1,5.493576050E-2,9.836943970E0,9.837900934E0
8.004783333E-2,-1.754351807E-1,7.933502197E-2,9.838590546E0,9.840474352E0
8.999783333E-2,-1.519340515E-1,7.424560547E-2,9.840536499E0,9.841989380E0
9.994683333E-2,-1.414558411E-1,7.679031372E-2,9.848919067E0,9.850234175E0
1.098958333E-1,-1.710942078E-1,6.197113037E-2,9.840087433E0,9.841769878E0
1.198448333E-1,-1.428030396E-1,6.256988525E-2,9.834399261E0,9.835635035E0
1.297948333E-1,-1.547781372E-1,8.666976929E-2,9.842332764E0,9.843931235E0
1.397438333E-1,-1.504371643E-1,7.559280396E-2,9.840386810E0,9.841826974E0
1.496928333E-1,-1.582209778E-1,7.469467163E-2,9.844278717E0,9.845833466E0
1.596418333E-1,-1.625619507E-1,7.200027466E-2,9.830657043E0,9.832264659E0
1.695908333E-1,-1.483415222E-1,7.409591675E-2,9.837243347E0,9.838640764E0
1.795408333E-1,-1.469943237E-1,7.604187012E-2,9.836345215E0,9.837737386E0
1.894898333E-1,-1.558259583E-1,8.143066406E-2,9.840237122E0,9.841807725E0
1.994388333E-1,-1.591191101E-1,7.544311523E-2,9.854457550E0,9.856030852E0
2.093878333E-1,-1.475930786E-1,8.023315430E-2,9.836943970E0,9.838378308E0
2.193378333E-1,-1.546284485E-1,7.768844604E-2,9.830657043E0,9.832179990E0
2.292868333E-1,-1.571731567E-1,7.604187012E-2,9.836644592E0,9.838194072E0
2.392353750E-1,-1.543290710E-1,7.723937988E-2,9.844428406E0,9.845940992E0
2.491843750E-1,-1.541793823E-1,7.200027466E-2,9.839039612E0,9.840510952E0
2.591343750E-1,-1.547781372E-1,7.888595581E-2,9.843081207E0,9.844614107E0
2.690833750E-1,-1.561253357E-1,6.840774536E-2,9.841434631E0,9.842910664E0
2.790323750E-1,-1.625619507E-1,7.439529419E-2,9.842632141E0,9.844255610E0
2.889813750E-1,-1.561253357E-1,7.514373779E-2,9.832153931E0,9.833680522E0
2.989313750E-1,-1.547781372E-1,7.634124756E-2,9.832153931E0,9.833668449E0
3.088803750E-1,-1.529818726E-1,7.738906860E-2,9.839189301E0,9.840682833E0
3.188293750E-1,-1.493893433E-1,7.155120850E-2,9.843530273E0,9.844923819E0
3.287783750E-1,-1.499880981E-1,7.933502197E-2,9.850715332E0,9.852176563E0
3.387273750E-1,-1.514849854E-1,7.334747314E-2,9.841284943E0,9.842724058E0
3.486773750E-1,-1.598675537E-1,7.394622803E-2,9.843530273E0,9.845106090E0
3.586263750E-1,-1.609153748E-1,6.960525513E-2,9.839189301E0,9.840751228E0
3.685753750E-1,-1.546284485E-1,7.753875732E-2,9.839039612E0,9.840560081E0
3.785243750E-1,-1.487905884E-1,6.870712280E-2,9.834548950E0,9.835914414E0
3.884743750E-1,-1.504371643E-1,7.963439941E-2,9.840985565E0,9.842457512E0
3.984233750E-1,-1.618135071E-1,7.514373779E-2,9.839788055E0,9.841405345E0
4.083723750E-1,-1.556762695E-1,7.664062500E-2,9.845476227E0,9.847005180E0
4.183213750E-1,-1.519340515E-1,7.155120850E-2,9.838740234E0,9.840173420E0
4.282713750E-1,-1.481918335E-1,7.708969116E-2,9.839488678E0,9.840906517E0
4.382203750E-1,-1.591191101E-1,7.364685059E-2,9.839638367E0,9.841200432E0
4.481693750E-1,-1.595681763E-1,7.679031372E-2,9.846224670E0,9.847816967E0
4.581183750E-1,-1.498384094E-1,7.948471069E-2,9.836943970E0,9.838406173E0
4.680683750E-1,-1.505868530E-1,6.945556641E-2,9.845326538E0,9.846723065E0
4.780173750E-1,-1.519340515E-1,7.185058594E-2,9.850865021E0,9.852298621E0
4.879663750E-1,-1.522334290E-1,7.244934082E-2,9.842332764E0,9.843776621E0
4.979153750E-1,-1.492396545E-1,7.259902954E-2,9.850266266E0,9.851664255E0
5.078653750E-1,-1.516346741E-1,7.454498291E-2,9.835147705E0,9.836599027E0
5.178143750E-1,-1.585203552E-1,7.469467163E-2,9.833950195E0,9.835511397E0
5.277633750E-1,-1.529818726E-1,7.694000244E-2,9.827214203E0,9.828706029E0
5.377123750E-1,-1.606159973E-1,7.589218140E-2,9.832303619E0,9.833908256E0
5.476623750E-1,-1.514849854E-1,8.038284302E-2,9.834848328E0,9.836343362E0
5.576113750E-1,-1.550775146E-1,7.544311523E-2,9.840536499E0,9.842047515E0
5.675603750E-1,-1.504371643E-1,6.930587769E-2,9.845925293E0,9.847318392E0
5.775093750E-1,-1.552272034E-1,6.676116943E-2,9.840686188E0,9.842136820E0
5.874583750E-1,-1.526824951E-1,6.735992432E-2,9.848320312E0,9.849734122E0
5.974083750E-1,-1.555265808E-1,7.125183105E-2,9.834998016E0,9.836485720E0
6.073573750E-1,-1.510359192E-1,6.765930176E-2,9.835147705E0,9.836540043E0
6.173063750E-1,-1.484912109E-1,7.409591675E-2,9.834548950E0,9.835949009E0
6.272553750E-1,-1.586700439E-1,8.262817383E-2,9.841584320E0,9.843210123E0
